Place Name,Latitude,Longitude
Bushy Park,51.4165,0.3398
Green Park,51.5039,0.1439
Greenwich Park,51.4769,0.0015
Hyde Park,51.5073,0.1657
Kensington Gardens,51.507,0.1792
Regent's Park,51.5313,0.157
Richmond Park,51.4412,0.2745
St. James's Park,51.5025,0.1348
Victoria Park,31.975,115.8977
Battersea Park,51.4791,0.1565
Crystal Palace Park,51.4221,0.0708
Alexandra Park,36.891,174.778
Brockwell Park,51.4506,0.1069
